type,name,code,address,district,branch_name,open_date
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026038,"9, Hariwan Municipality",Sarlahi,Hariwan,2017-11-02
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026039,"8, Chandrapur Municipality",Rautahat,Santapur,2017-02-02
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026040,"8, Nijagadh Municipality",Bara,Nijgadh,2017-11-02
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026041,"1, Khairahani Municipality",Chitawan,Jyamire,2017-11-02
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026042,"4, Sainamaina Municipality",Rupandehi,Murgiya,2017-11-02
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026043,"1, Bardibas Municipality",Mahottari,Bardibas,2018-02-28
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026044,"3, Bulingtar Rural Municipality",Nawalparasi East,Bulingtar,2018-02-28
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026045,"7, Banganga Municipality",Kapilbastu,Bangain,2018-02-28
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026046,"9, Buddhabhumi Municipality",Kapilbastu,Emiliya,2018-02-28
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026047,"12, Kohalpur Municipality",Banke,Kohalpur,2018-02-28
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026048,"9, Bansgadhi Municipality",Bardiya,Machhagadh,2018-02-28
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028002,"25, Pokhara Metropolitian City",Kaski,Hemja,2013-03-14
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028003,"4, Bensi Shahar Municipality",Lamjung,Udipur,2013-08-17
